state,district,priority_label,priority_rank,forecast_next_month,required_staff,required_kits
Punjab,Shaheed Bhagat Singh Nagar,Medium Priority,227.0,191,1,1
Gujarat,Jamnagar,Medium Priority,228.0,854,2,2
Madhya Pradesh,Gwalior,Medium Priority,229.0,2062,4,4
Tripura,Unakoti,Medium Priority,230.0,134,1,1
Arunachal Pradesh,Tirap,Medium Priority,231.0,21,1,1
Arunachal Pradesh,Longding,Medium Priority,232.0,49,1,1
Madhya Pradesh,Narmadapuram,Medium Priority,233.0,151,1,1
Andhra Pradesh,K.V.Rangareddy,Medium Priority,234.0,13,1,1
West Bengal,Purba Bardhaman,Medium Priority,235.0,618,2,2
Maharashtra,Mumbai Suburban,Medium Priority,236.0,2381,5,5
Gujarat,Bhavnagar,Medium Priority,237.0,1384,3,3
Andhra Pradesh,Y. S. R,Medium Priority,238.0,179,1,1
Kerala,Kollam,Medium Priority,239.0,1172,3,3
West Bengal,Coochbehar,Medium Priority,240.0,1470,3,3
The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,Medium Priority,241.0,358,1,1
Rajasthan,Jodhpur,Medium Priority,242.0,2970,6,6
Jammu And Kashmir,Srinagar,Medium Priority,243.0,690,2,2
Maharashtra,Dhule,Medium Priority,244.0,1330,3,3
Assam,Karimganj,Medium Priority,245.0,1669,4,4
Karnataka,Bengaluru South,Medium Priority,246.0,64,1,1
Manipur,Bishnupur,Medium Priority,247.0,200,1,1
Nagaland,Phek,Medium Priority,248.0,120,1,1
Madhya Pradesh,Burhanpur,Medium Priority,249.0,694,2,2
Andaman & Nicobar Islands,Andamans,Medium Priority,250.0,15,1,1
Uttar Pradesh,Shravasti,Medium Priority,251.0,1268,3,3
Andaman And Nicobar Islands,Nicobar,Medium Priority,252.0,9,1,1
Odisha,Khorda,Medium Priority,253.0,894,2,2
Delhi,Shahdara,Medium Priority,254.0,87,1,1
Delhi,South West Delhi,Medium Priority,255.0,1383,3,3
Andhra Pradesh,Bapatla,Medium Priority,256.0,116,1,1
Kerala,Kannur,Medium Priority,257.0,1393,3,3
Sikkim,West,Medium Priority,258.0,36,1,1
Mizoram,Mammit,Medium Priority,259.0,19,1,1
Jharkhand,East Singhbum,Medium Priority,260.0,1447,3,3
Kerala,Pathanamthitta,Medium Priority,261.0,449,1,1
Gujarat,Navsari,Medium Priority,262.0,438,1,1
Telangana,Jangaon,Medium Priority,263.0,17,1,1
Tamil Nadu,Kallakurichi,Medium Priority,264.0,188,1,1
Bihar,Samstipur,Medium Priority,265.0,18,1,1
Assam,Barpeta,Medium Priority,266.0,1432,3,3
Kerala,Alappuzha,Medium Priority,267.0,829,2,2
Uttar Pradesh,Jyotiba Phule Nagar,Medium Priority,268.0,18,1,1
Uttar Pradesh,Sant Ravidas Nagar Bhadohi,Medium Priority,268.0,16,1,1
Puducherry,Karaikal,Medium Priority,269.0,82,1,1
West Bengal,Dinajpur Dakshin,Medium Priority,270.0,997,2,2
Karnataka,Kodagu,Medium Priority,271.0,300,1,1
Gujarat,Ahmadabad,Medium Priority,272.0,193,1,1
Rajasthan,Sirohi,Medium Priority,273.0,1143,3,3
Andhra Pradesh,Karim Nagar,Medium Priority,274.0,19,1,1
Karnataka,Chikkamagaluru,Medium Priority,275.0,262,1,1
Manipur,Kakching,Medium Priority,276.0,24,1,1
Maharashtra,Pune,Medium Priority,277.0,5664,11,11
Delhi,South Delhi,Medium Priority,278.0,2291,5,5
Uttar Pradesh,Siddharth Nagar,Medium Priority,279.0,2170,4,4
Tamil Nadu,Ranipet,Medium Priority,280.0,25,1,1
West Bengal,Medinipur West,Medium Priority,281.0,322,1,1
Mizoram,Mamit,Medium Priority,282.0,38,1,1
Maharashtra,Raigarh(Mh),Medium Priority,283.0,18,1,1
Bihar,Pashchim Champaran,Medium Priority,284.0,17,1,1
Madhya Pradesh,Dhar,Medium Priority,285.0,2118,4,4
Assam,South Salmara Mankachar,Medium Priority,286.0,216,1,1
Madhya Pradesh,Khargone,Medium Priority,287.0,1639,3,3
Odisha,Nabarangpur,Medium Priority,288.0,442,1,1
Uttar Pradesh,Gautam Buddha Nagar,Medium Priority,289.0,1775,4,4
Manipur,Tamenglong,Medium Priority,290.0,221,1,1
Andhra Pradesh,Palnadu,Medium Priority,291.0,182,1,1
Orissa,Bargarh,Medium Priority,292.0,12,1,1
Chhattisgarh,Sarangarh-Bilaigarh,Medium Priority,293.0,50,1,1
Madhya Pradesh,Ashok Nagar,Medium Priority,294.0,750,2,2
Odisha,Khordha,Medium Priority,295.0,89,1,1
Maharashtra,Parbhani,Medium Priority,296.0,1152,3,3
Rajasthan,Jalore,Medium Priority,297.0,165,1,1
Madhya Pradesh,Ashoknagar,Medium Priority,298.0,1506,3,3
Andhra Pradesh,Kakinada,Medium Priority,299.0,220,1,1
Gujarat,Ahmedabad,Medium Priority,300.0,3439,7,7
Bihar,Madhubani,Medium Priority,301.0,4163,8,8
Tamil Nadu,Ariyalur,Medium Priority,302.0,527,1,1
Andhra Pradesh,Eluru,Medium Priority,303.0,142,1,1
Gujarat,Valsad,Medium Priority,304.0,1079,2,2
Maharashtra,Raigad,Medium Priority,305.0,412,1,1
Assam,Nagaon,Medium Priority,306.0,1645,3,3
Bihar,Patna,Medium Priority,307.0,3402,7,7
Kerala,Kozhikode,Medium Priority,308.0,1603,3,3
Uttar Pradesh,Agra,Medium Priority,309.0,3434,7,7
Madhya Pradesh,Barwani,Medium Priority,310.0,1573,3,3
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,Medium Priority,311.0,144,1,1
Andhra Pradesh,Alluri Sitharama Raju,Medium Priority,312.0,276,1,1
Uttar Pradesh,Shrawasti,Medium Priority,313.0,712,2,2
Bihar,Jehanabad,Medium Priority,314.0,913,2,2
Arunachal Pradesh,East Siang,Medium Priority,315.0,36,1,1
Haryana,Nuh,Medium Priority,316.0,1506,3,3
Madhya Pradesh,Morena,Medium Priority,317.0,2561,5,5
Orissa,Nayagarh,Medium Priority,318.0,20,1,1
Assam,Dhubri,Medium Priority,319.0,1578,3,3
Maharashtra,Nandurbar *,Medium Priority,320.0,24,1,1
West Bengal,Dinajpur Uttar,Medium Priority,321.0,3890,8,8
Uttar Pradesh,Siddharthnagar,Medium Priority,322.0,2152,4,4
Manipur,Imphal West,Medium Priority,323.0,270,1,1
Jammu And Kashmir,Bandipore,Medium Priority,324.0,377,1,1
Haryana,Gurgaon,Medium Priority,325.0,1167,3,3
Maharashtra,Nanded,Medium Priority,326.0,1521,3,3
Karnataka,Vijayanagara,Medium Priority,327.0,433,1,1
Arunachal Pradesh,Lower Subansiri,Medium Priority,328.0,20,1,1
Madhya Pradesh,Sagar,Medium Priority,329.0,2633,5,5
Tripura,Dhalai,Medium Priority,330.0,259,1,1
Uttar Pradesh,Kanpur Nagar,Medium Priority,331.0,3079,6,6
Bihar,East Champaran,Medium Priority,332.0,4319,8,8
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,Medium Priority,333.0,56,1,1
Madhya Pradesh,Indore,Medium Priority,334.0,3347,7,7
Assam,Majuli,Medium Priority,335.0,45,1,1
Manipur,Jiribam,Medium Priority,336.0,34,1,1
Telangana,Medchal-Malkajgiri,Medium Priority,337.0,899,2,2
Orissa,Jajapur,Medium Priority,338.0,23,1,1
Tripura,West Tripura,Medium Priority,339.0,603,2,2
Maharashtra,Beed,Medium Priority,340.0,1207,3,3
Maharashtra,Yavatmal,Medium Priority,341.0,1193,3,3
Arunachal Pradesh,Namsai,Medium Priority,342.0,29,1,1
Arunachal Pradesh,West Siang,Medium Priority,343.0,35,1,1
Uttar Pradesh,Maharajganj,Medium Priority,344.0,1882,4,4
Puducherry,Puducherry,Medium Priority,345.0,290,1,1
Bihar,Aurangabad(Bh),Medium Priority,346.0,24,1,1
Maharashtra,Satara,Medium Priority,347.0,1152,3,3
Rajasthan,Bundi,Medium Priority,348.0,813,2,2
Punjab,Amritsar,Medium Priority,349.0,1121,3,3
Telangana,Hyderabad,Medium Priority,350.0,3644,7,7
Gujarat,Surat,Medium Priority,351.0,3046,6,6
Bihar,West Champaran,Medium Priority,352.0,4013,8,8
Karnataka,Haveri *,Medium Priority,353.0,28,1,1
Punjab,Gurdaspur,Medium Priority,354.0,838,2,2
Arunachal Pradesh,Lohit,Medium Priority,355.0,36,1,1
Punjab,Moga,Medium Priority,356.0,279,1,1
Kerala,Palakkad,Medium Priority,357.0,1669,4,4
Orissa,Koraput,Medium Priority,358.0,20,1,1
Gujarat,Narmada,Medium Priority,359.0,243,1,1
Uttar Pradesh,Kasganj,Medium Priority,360.0,874,2,2
