state,district,priority_label,priority_rank,forecast_next_month,required_staff,required_kits
Andaman & Nicobar Islands,South Andaman,High Priority,132.0,7,1,1
Himachal Pradesh,Lahul & Spiti,High Priority,132.0,8,1,1
Arunachal Pradesh,West Kameng,High Priority,133.0,36,1,1
West Bengal,Paschim Bardhaman,High Priority,134.0,262,1,1
Gujarat,Anand,High Priority,135.0,1067,2,2
Chhattisgarh,Gaurella Pendra Marwahi,High Priority,136.0,492,1,1
Gujarat,Panch Mahals,High Priority,137.0,15,1,1
Gujarat,Porbandar,High Priority,138.0,257,1,1
Goa,North Goa,High Priority,139.0,255,1,1
Karnataka,Ramanagara,High Priority,140.0,204,1,1
Assam,Kamrup,High Priority,141.0,1291,3,3
Punjab,S.A.S Nagar,High Priority,142.0,352,1,1
West Bengal,Kolkata,High Priority,143.0,1777,4,4
